scout,match,robot,team,start,show,move,auto_coral_L1_num,auto_coral_L2_num,auto_coral_L3_num,auto_coral_L4_num,robot_reef_removal,robot_algae_picked,robot_net_score,robot_net_miss,proc_score,coral_L1_num,coral_L2_num,coral_L3_num,coral_L4_num,climb_attempt,ending,climb_time,driver,dead,card
sophia,14,R3,475,Middle,FALSE,TRUE,2,1,2,0,TRUE,TRUE,3,0,8,13,12,3,8,FALSE,No,FALSE,2,TRUE,No Card
sophia,3,B2,457,Close,FALSE,TRUE,2,0,0,0,TRUE,FALSE,5,3,9,7,7,7,3,TRUE,S,FALSE,3,TRUE,No Card
gabriel,18,R3,460,Middle,FALSE,TRUE,1,1,2,0,FALSE,TRUE,3,1,4,14,6,12,0,TRUE,D,FALSE,4,TRUE,No Card
sophia,14,R2,471,Middle,FALSE,TRUE,0,1,1,0,FALSE,TRUE,7,2,8,9,7,8,2,TRUE,S,TRUE,3,TRUE,No Card
tinbite,3,B1,453,Far,FALSE,FALSE,0,1,1,0,FALSE,TRUE,9,0,7,2,3,3,8,TRUE,P,FALSE,2,TRUE,Yellow
sophia,16,B2,461,Close,FALSE,FALSE,0,1,2,2,TRUE,TRUE,3,0,7,21,1,4,0,TRUE,D,TRUE,4,FALSE,Yellow
tinbite,17,R3,498,Close,FALSE,TRUE,2,0,1,0,TRUE,FALSE,6,3,3,2,6,5,9,FALSE,S,FALSE,5,TRUE,No Card
sophia,12,B2,473,Middle,TRUE,TRUE,1,1,2,0,FALSE,TRUE,8,1,8,14,12,9,3,TRUE,P,FALSE,3,TRUE,No Card
gabriel,16,B1,478,Far,FALSE,TRUE,1,2,2,2,FALSE,TRUE,5,3,9,0,2,3,3,TRUE,No,FALSE,5,TRUE,No Card
mitchell,7,B3,462,Close,TRUE,TRUE,0,0,2,2,TRUE,FALSE,8,2,7,11,12,6,4,TRUE,S,FALSE,1,TRUE,No Card
tinbite,20,R2,491,Close,FALSE,TRUE,0,0,0,1,FALSE,TRUE,9,3,2,15,11,8,1,TRUE,S,FALSE,3,TRUE,No Card
gabriel,19,R2,494,Far,FALSE,TRUE,2,1,0,2,FALSE,FALSE,0,1,5,14,9,0,9,TRUE,No,FALSE,4,TRUE,No Card
tinbite,13,R3,462,Far,FALSE,TRUE,0,2,1,1,FALSE,TRUE,7,0,6,7,1,12,3,TRUE,P,FALSE,1,TRUE,Yellow
sophia,11,B2,477,Far,FALSE,TRUE,0,2,0,1,TRUE,FALSE,7,0,4,22,1,3,9,TRUE,S,FALSE,3,TRUE,No Card
gabriel,13,B3,476,Close,FALSE,TRUE,2,0,1,0,FALSE,FALSE,4,2,1,7,6,9,3,TRUE,P,FALSE,2,TRUE,No Card
tinbite,16,R3,497,Middle,FALSE,TRUE,2,0,2,0,TRUE,FALSE,3,2,7,4,6,7,5,TRUE,No,FALSE,1,TRUE,No Card
tinbite,1,B3,481,Close,FALSE,TRUE,2,0,2,2,FALSE,FALSE,7,1,0,17,5,11,0,TRUE,D,TRUE,3,TRUE,Red
gabriel,17,R2,487,Close,FALSE,TRUE,0,2,2,2,FALSE,FALSE,7,0,6,24,4,12,0,TRUE,P,TRUE,5,TRUE,Yellow
mitchell,18,R1,492,Far,FALSE,TRUE,0,0,1,2,FALSE,TRUE,6,3,6,8,4,9,6,TRUE,D,FALSE,2,TRUE,Yellow
tinbite,12,B1,497,Far,FALSE,TRUE,1,0,1,1,TRUE,TRUE,6,1,4,13,9,7,7,TRUE,D,FALSE,2,TRUE,No Card
sophia,18,B3,461,Middle,FALSE,TRUE,0,2,1,2,TRUE,FALSE,9,1,3,17,11,9,2,TRUE,No,FALSE,5,TRUE,No Card
sophia,15,R2,475,Far,FALSE,FALSE,2,0,0,2,TRUE,FALSE,2,3,9,21,6,4,10,TRUE,No,FALSE,3,TRUE,No Card
tinbite,9,B2,475,Middle,FALSE,TRUE,2,2,2,1,FALSE,FALSE,9,3,0,17,5,1,7,TRUE,P,FALSE,2,TRUE,No Card
sophia,17,R1,485,Close,FALSE,TRUE,2,1,1,0,TRUE,TRUE,3,2,6,7,5,10,6,FALSE,No,FALSE,1,TRUE,Yellow
gabriel,15,B3,475,Far,FALSE,TRUE,2,1,2,0,FALSE,FALSE,6,0,4,19,7,10,5,TRUE,D,TRUE,4,TRUE,No Card
tinbite,10,B1,465,Close,FALSE,FALSE,0,1,1,0,TRUE,FALSE,2,0,6,15,2,4,12,TRUE,D,FALSE,3,TRUE,No Card
tinbite,8,R2,487,Far,FALSE,TRUE,1,1,1,1,FALSE,FALSE,3,0,9,18,8,8,11,TRUE,No,FALSE,2,TRUE,Yellow
tinbite,2,R2,453,Middle,FALSE,FALSE,0,2,2,2,FALSE,FALSE,1,1,2,13,11,4,3,TRUE,S,FALSE,5,TRUE,Red
mitchell,17,R1,476,Close,FALSE,TRUE,2,0,2,0,FALSE,FALSE,4,1,5,9,9,7,6,TRUE,No,FALSE,1,TRUE,No Card
sophia,20,B3,466,Far,FALSE,TRUE,2,0,2,1,FALSE,FALSE,3,0,7,22,5,5,5,TRUE,D,TRUE,2,TRUE,No Card
